Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xpcR,xOPS,RLR,pos_adj,xWAR
Rafael Flores,LoA,CLB,C,100,21,74,90,53,49,49,53,52,37,12,7,16,54,53,36,$27K  26250,Columbus Blue Birds,6877,0.2569267097557882,0.31847834599072755,0.37497492758735357,446.75049541238695,858.7949008122087,0.7223899999999999,76.28041113126578,77.04916696674495,-31.482756621467036,-4.842663911932646,-0.3086457899514119,-2.643904174324267,-2.100794823262202,0.09971856971213601,0.6934532735780812,14.891683180412898,4.417669242861156,-1.9815233260378846
Renyel Chavez,---,CLB,C,100,26,68,73,39,37,23,25,32,31,21,13,28,64,71,72,$38K  37500,Columbus Blue Birds,6877,0.22383954953393348,0.27479916074715127,0.2955478909364645,334.947753761895,720.1502034720033,0.97122,43.76498469494303,51.72066048555963,-102.66436437337363,-4.818608527860718,-0.2896722736216268,-0.5479384514516535,2.4665224460917297,0.099340903376001,0.5703470516836158,11.1649251253965,3.7044763553086595,-9.389723557558112
Roberto Prieto,LoA,CLB,SS,100,20,73,77,44,21,60,53,47,67,71,71,60,74,66,11,$27K  26250,Columbus Blue Birds,6877,0.24830162010050222,0.30494491357039333,0.3065106522096355,460.91106959059834,862.653880301863,0.9163899999999998,58.768900764400804,68.28119265703243,-60.3836714158688,0.4636221093821204,0.4455375450080549,0.6741536504762766,0.0,0.09951026425522759,0.6114555657800289,15.363702319686611,4.437519960400529,-3.975618035034502
Roenis Arcia,HiA,CLB,3B,100,25,99,48,14,70,33,42,33,27,35,56,56,64,55,9,$27K  26250,Columbus Blue Birds,6877,0.23013191577587344,0.27618865723265346,0.39558958091296853,505.01719967182726,1028.34088518098,0.7837900000000001,65.86925265809309,75.39710477327894,-42.5678412075569,-4.131756646683195,-0.9838272886297759,0.5422035229371345,-0.13169841621489964,0.09904087604780688,0.671778238145622,16.833906655727574,1.7632731227383058,-2.7777866223265395
Rolando Carrera,HiA,CLB,SS,100,22,83,97,53,76,59,40,39,72,58,82,75,85,77,6,$27K  26250,Columbus Blue Birds,6877,0.23979759695937872,0.28925790928339284,0.42561616418777715,532.1257218271494,1023.8071450088173,0.92134,79.58430159970207,80.47445273506008,-28.364080906344935,-2.2826196242588987,1.5480813653259022,1.2517183762848216,0.0,0.09973908305226832,0.71487407347117,17.737524060904978,5.266497659510377,-0.6441431855721279
Sam Griffith,AAA,CLB,2B,100,24,86,76,92,17,74,26,20,81,99,80,72,53,56,16,$55K  54500,Columbus Blue Birds,6877,0.24620887433976615,0.28863190381412523,0.3002014864739371,530.4899127203971,1014.4054391495883,0.9143449999999997,52.58650641730541,77.74233798952766,-92.48935807463343,11.107578016649983,0.5775595849937137,0.786868592706237,0.0,0.09852932248730685,0.5888333902880623,17.682997090679905,1.7393783250164407,-6.165563477981759
Santos Javier,RL,CLB,2B,100,20,64,70,45,38,34,26,54,50,64,67,46,45,45,14,$8K  7650,Columbus Blue Birds,6877,0.2327477730481025,0.2983345723878673,0.3313599214090076,405.53598304092884,765.7606612499803,0.8902700000000001,59.20623985473552,74.4297484034653,-48.204840592076366,-1.3100808788384022,0.5986007274543229,1.4406105037528283,0.0,0.09886075405637275,0.6296944937968749,13.517866101364294,1.3130326838991433,-3.3505945848980656
Saul Fontana,AA,CLB,RF,100,25,81,45,65,20,13,59,53,70,75,55,38,58,52,16,$38K  37500,Columbus Blue Birds,6877,0.2544243960888014,0.31976543528481377,0.3185454163161991,474.2549452735111,876.3842275161296,0.8415999999999997,65.72656536858317,68.55443650603318,-53.66723439479461,2.5508614626065045,1.196706704461757,0.9512048643165755,0.0,0.09909935489821255,0.6383108516010129,15.808498175783702,-4.508149318498608,-3.91717468945441
Scooter Simon,ML,CLB,LF,100,27,89,90,77,60,64,55,73,79,16,47,40,49,51,0,$360K  360000,Columbus Blue Birds,6877,0.270837948851703,0.3444787333341657,0.4197380960505472,575.9018923006952,1067.239897388965,0.8942899999999997,95.61601459961871,89.2217160106962,-4.773678215290215,-5.908377873005771,1.076695619428787,0.6443095626302651,0.0,0.0995751866209368,0.7642168293847129,19.196729743356507,-5.489917167638708,0.3698041817028588
Storm Jones,RL,CLB,LF,100,21,75,68,43,60,58,37,58,42,75,63,45,42,44,7,$8K  7650,Columbus Blue Birds,6877,0.24514844088139187,0.3104948983079129,0.40953354750548954,490.383467214182,904.5872987397015,0.9694900000000001,81.34023179986302,84.54058518820761,-20.251966752190576,0.19657574361135827,0.6073955452871391,0.1990426652570801,0.0,0.09855364893854603,0.7200284458134024,16.346115573806067,-4.653226845368835,-0.8227929019440786
T.J. Wallace,AA,CLB,3B,100,26,79,89,45,30,32,38,28,67,68,63,59,74,66,6,$38K  37500,Columbus Blue Birds,6877,0.23127320069039994,0.2775194169435825,0.30404905304723945,458.1889434438199,895.7429962158203,0.9328408333333332,47.82287817919181,59.86268133019711,-107.90771487207957,0.14207122548203996,0.3915118165617873,0.2873381065928895,0.0,0.0996400517394115,0.5815684699908219,15.272964781460663,1.535910487338512,-9.138547523948674
Thomas Van Slyke,HiA,CLB,LF,100,22,86,90,43,33,47,41,40,54,53,61,56,45,49,0,$27K  26250,Columbus Blue Birds,6877,0.23998785445078452,0.292665178174025,0.3208802358259092,503.5073515251279,990.2242631949484,0.8722699999999998,55.63880934955572,59.783169096156534,-80.33064202575436,-4.8088213836704,0.844457566006452,0.5919168211565132,0.0,0.09900759884447798,0.6135454139999341,16.78357838417093,-5.093746209850558,-7.343309466780559
Tom Lamb,LoA,CLB,SS,100,21,77,70,43,35,29,23,53,43,52,88,68,87,74,15,$27K  26250,Columbus Blue Birds,6877,0.22445249450756682,0.28889451273982086,0.29930591322218636,427.40539767593145,847.9377302844077,0.923683333333333,50.35541717020582,58.70986062358564,-106.22953045076098,-4.448682041989052,0.7725802300096543,2.0009388843293205,0.0,0.09919324792980223,0.5882004259620073,14.246846589197714,4.361819600228435,-9.077990750050565
Tomas Guez,AA,CLB,SS,100,23,97,92,29,53,46,41,50,75,61,66,60,73,69,23,$38K  37500,Columbus Blue Birds,6877,0.2345805678156915,0.2918309232545676,0.3591987516199192,535.0257186740637,1061.6899825613946,0.8765959999999998,64.40233541593675,70.0312929048847,-44.428101986497396,-0.42675602850503386,0.8058982429681882,0.6761841100345659,0.0,0.09983800957678358,0.6510296748744868,17.83419062246879,5.461368223052441,-2.104803557803408
Tony James,LoA,CLB,SS,100,20,70,64,58,70,62,65,80,57,95,79,79,84,77,1,$27K  26250,Columbus Blue Birds,6877,0.2639485696780788,0.3402120294055035,0.4600628778996122,543.2436771765351,943.6810259260237,0.960389999999999,105.65786904253086,108.03565715042758,7.418662222940583,5.162942384280228,1.1008372238664927,0.6531465500627818,0.0,0.09888235109218403,0.8002749073051156,18.10812257255117,4.854326265051562,3.64830606520525
Travis Souza,RL,CLB,3B,100,22,75,87,23,52,21,29,44,25,54,49,49,60,46,11,$8K  7650,Columbus Blue Birds,6877,0.22400204681271596,0.28139358725587854,0.34954654452342815,430.51406277157366,851.1622200086713,0.8619866666666668,56.263956558127155,68.87171110609127,-50.01622035389906,-3.1524753139889348,-1.1738588943218047,-0.061077537717116506,0.0,0.09944233965478379,0.6309401317793066,14.350468759052454,1.4594688271753622,-3.771535181407513
Valerio Guerrero,LoA,CLB,RF,100,20,69,91,43,75,41,46,24,23,27,55,31,63,47,5,$27K  26250,Columbus Blue Birds,6877,0.24093835718287046,0.28370639433842526,0.42940778399601565,436.84724033251405,848.3320749998093,0.6705066666666667,76.62439312558176,75.6012663453707,-25.14435609308989,-4.5684290033215245,-2.3674330142428834,-3.279485580996959,0.0,0.09969853707997135,0.7131141783344409,14.561574677750468,-4.363848122427003,-2.2974559796321126
Vitas Stafford,HiA,CLB,2B,100,23,78,66,6,20,35,48,37,79,98,88,71,63,54,8,$27K  26250,Columbus Blue Birds,6877,0.22650964065954785,0.2753106831229965,0.2824282476742853,442.67568445485085,861.9620444439352,0.8559699999999993,41.597732288930764,73.22157747572489,-100.26605809751096,11.280785355680996,1.6550750025197984,0.06276759507092766,0.0,0.0996131374628796,0.5577389307972818,14.755856148495027,1.4779870446569532,-7.3262707147089525
Watty Andrews,ML,CLB,SS,100,24,88,89,49,48,53,47,68,70,73,89,78,90,82,0,$360K  360000,Columbus Blue Birds,6877,0.24552657292669589,0.3152799230726945,0.3653172042411701,551.2300328053534,1036.4135807137936,0.9632699999999995,75.46673541166142,73.1132565042231,-56.46234963880999,2.108396551875179,2.9935430717969957,2.6534389444638427,0.0,0.09942589324026375,0.6805971273138646,18.374334426845113,5.331345579803466,-2.821591813360273
Willie Pritchett,ML,CLB,2B,100,24,82,95,50,99,63,60,71,59,75,93,77,58,62,9,$360K  360000,Columbus Blue Birds,6877,0.2566411618674676,0.32446764486488333,0.5159610086358055,594.6945963613689,1107.8019863013178,0.9785499999999999,111.15539296966067,117.68003612157914,48.492564620234916,1.3700877405154652,4.863319641743014,5.082193549597733,0.0,0.09900146171974956,0.8404286535006888,19.82315321204563,1.8995232961270883,7.727298992277412
Wily Camacho,HiA,CLB,3B,100,22,86,81,39,60,60,54,50,52,41,58,55,64,61,8,$27K  26250,Columbus Blue Birds,6877,0.2503469568264638,0.3067173749908662,0.39896961018588917,523.1885285247117,1006.6636150144041,0.9407014999999995,78.58352316670839,78.92336949716488,-22.674175229719374,-5.167934505684363,0.8087282059622083,0.6922043445655537,0.0,0.09940093821904629,0.7056869851767553,17.43961761749039,1.7261035922743553,-0.8047237791221733
Yonder Soto,RL,CLB,SS,100,19,60,22,28,37,18,28,36,49,65,71,59,74,57,9,$8K  7650,Columbus Blue Birds,6877,0.22265174496470652,0.27596640480895585,0.31539046469490833,340.8971549682319,643.2732431972399,0.7638199999999997,48.59763183967929,59.990510106615275,-94.26021577806598,-0.03786202059393779,0.17469201517255153,1.9478541737786612,0.0,0.09909512935672428,0.5913568695038642,11.363238498941064,3.309018740726543,-7.829141368283186
Aaron Ramirez,HiA,DOV,3B,100,24,78,64,26,24,16,9,16,47,73,66,52,61,47,16,$27K  26250,Dover Mental Patients,6875,0.20717237652608228,0.249143200462775,0.26047702399372263,382.6025687903166,790.0273691276088,0.8864350000000004,26.195872687320424,46.7842993457991,-159.87781897317905,0.3148654072902497,-2.2249266007394395,-2.930624528527413,0.6910871370134254,0.09926172889362096,0.5096202244564976,12.75341895967722,1.3546422653079713,-14.955736390103096
Aaron Wise,HiA,DOV,SS,100,22,74,88,51,30,37,39,47,57,9,67,62,67,53,9,$27K  26250,Dover Mental Patients,6875,0.2401546471770234,0.29816692142067314,0.2957598320918374,433.0632700379938,866.7986798509955,0.92018,51.35026724921094,68.6731479971087,-62.552886734685266,-5.5699099196110655,0.6323608353503767,2.1812635491317773,0.0,0.0999680985475472,0.5939267535125106,14.435442334599793,4.458840945735574,-4.741879673328308
Adalberto Fuentes,ML,DOV,SS,100,29,85,57,62,52,66,68,55,85,57,64,69,73,66,19,$2.7M  2660000,Dover Mental Patients,6875,0.2666775458366434,0.3254330472144491,0.40275079036404293,546.8225047644228,1014.6856768168509,0.9756641666666657,87.39173252134837,83.42805387556429,-29.15014701615415,-1.2694549696420656,1.1939948903782698,1.3786661768053645,0.0,0.09960268755793113,0.728183837578492,18.22741682548076,5.219576526835652,-0.5638119577198697
Alan Reid,AA,DOV,LF,100,22,82,52,52,3,51,21,35,63,82,72,58,60,40,5,$38K  37500,Dover Mental Patients,6875,0.23429217881257575,0.2883219073342536,0.24719657856216895,449.3634371859953,855.5476987343282,0.7429350000000001,37.85317936870755,49.91824711490134,-156.59648904191738,2.723943639192212,-1.1638309948580503,-0.1440760709306969,0.0,0.09914662752242766,0.5355184858964226,14.978781239533177,-4.400965528468766,-14.457158706291906
Bailey Pedersen,ML,DOV,LF,100,29,83,61,58,76,65,63,79,61,16,68,63,47,52,13,$1.0M  1000000,Dover Mental Patients,6875,0.26859030541907913,0.3425968351710622,0.4558197979439973,551.2917249388993,1037.2962141186,0.97309,102.9309836989783,93.42012550237739,11.14210182935758,-5.78350509360794,1.5329806547713016,1.462410932536149,0.0,0.0990365427057306,0.7984166331150595,18.376390831296643,-5.335885875095679,2.0018365227780714
Benny Martin,ML,DOV,2B,100,32,82,96,80,44,76,58,73,62,66,64,71,48,63,0,$6.4M  6400000,Dover Mental Patients,6875,0.2697939336390727,0.34233986001149186,0.39079373223694125,588.6099334228784,1079.684363624081,0.9721766666666661,90.3433898748995,80.90107708946682,-24.067888722473576,-1.2042765632116506,1.3504745572834795,1.1594981091440453,0.0,0.09844630629930652,0.7331335922484331,19.620331114095947,1.8513106372155024,-0.26618824325053053
Brent Purcell,LoA,DOV,2B,100,22,82,78,39,11,11,21,23,61,91,74,59,49,37,11,$27K  26250,Dover Mental Patients,6875,0.217300968363683,0.2637208657722668,0.24627549002572285,434.4184901518747,875.9513255972415,0.80098,28.127566819130642,44.86263749072043,-163.44909171034314,4.248155460439527,-1.7626494758633962,-1.4707727295107687,0.0,0.09927004746685743,0.5099963557979896,14.480616338395825,1.5019741522586447,-14.583177390138392
Bruce Barrett,AA,DOV,RF,100,26,77,49,17,12,17,27,24,65,66,58,33,55,37,1,$38K  37500,Dover Mental Patients,6875,0.21997864477557647,0.2665671898900959,0.2510247424440136,377.86022722162306,741.5075099067762,0.8530699999999999,29.86265119455542,42.74432818057457,-114.50180095646577,-0.32010943905757516,-3.708500572380467,-4.348771673998839,0.0,0.0996824653336127,0.5175919323341096,12.595340907387435,-3.8143390427303303,-11.12614621806031
Bubbles Clarke,HiA,DOV,RF,100,22,77,81,66,70,48,41,64,44,68,64,32,65,52,3,$27K  26250,Dover Mental Patients,6875,0.2535220533417383,0.32532684879807194,0.44492822852700575,516.4601359199733,927.5510876756161,0.8924799999999997,95.11906318092274,87.08098777892788,-6.188885967902302,-0.5512795764334352,0.9563607920504058,1.0031432364968818,0.0,0.09918080449977897,0.7702550773250777,17.21533786399911,-4.7713533316646926,0.6759929211703243
Buddy Carter,AA,DOV,CF,100,21,75,64,73,18,63,56,58,60,94,87,59,52,50,0,$38K  37500,Dover Mental Patients,6875,0.2629045342221763,0.32919012211033716,0.3314156959780278,515.3039807677269,926.2547277715057,0.8972399999999997,73.08180916005999,80.6203029732494,-49.97307850380161,4.838901002535992,2.4172537271361043,1.9746011109260728,0.0,0.09847156736185315,0.6606058180883649,17.17679935892423,1.588228271213144,-2.4587200173594606
Carl Brantley,AA,DOV,CF,100,23,78,98,61,53,36,51,60,67,89,74,61,54,49,19,$57K  57000,Dover Mental Patients,6875,0.2500447686427676,0.3163606845580638,0.3959128761724334,530.4471717793494,991.2088916357607,0.9455399999999997,80.95286859402454,86.55674411325408,-33.459391861422276,5.729703176898989,1.6552558480936514,1.4779949721652819,0.0,0.09938781160570688,0.7122735607304973,17.68157239264498,1.6996037236552826,-0.6924776231404077
Carl Wilkerson,AAA,DOV,C,100,21,20,47,39,45,33,30,32,0,24,11,16,56,45,40,$55K  54500,Dover Mental Patients,6875,0.2337950703619787,0.2864381076686221,0.34843807222682155,191.2819480113685,332.59064091648906,0.5606975,58.55463805724188,66.67877490558533,-70.18610736416157,-4.304885246617732,-0.01654128263992321,-4.436181767763692,-6.03184455755814,0.09917918531544746,0.6348761798954436,6.376064933712283,1.7108572063605405,-7.139969995988417
Charley Moreno,AAA,DOV,2B,100,28,91,79,77,0,60,67,63,86,98,85,66,45,60,0,$70K  70000,Dover Mental Patients,6875,0.26797085507561275,0.33594343380714586,0.28770706405210844,584.7690276298672,1082.0242322664708,0.9558799999999996,66.55248290689683,78.19614771746352,-85.13034184175667,18.02570440426933,2.4585965268338192,2.2809996467907574,0.0,0.0983799726306508,0.6236504978592543,19.492300920995575,1.8553227576585576,-4.381935785041973
Chief Barber,ML,DOV,C,100,34,72,86,85,70,34,74,64,17,15,13,16,52,58,53,$343K  343000,Dover Mental Patients,6875,0.2755488436837218,0.34546050653219046,0.4559635268329557,488.36092056240886,923.1842852514237,0.6393599999999999,105.03757011325119,98.73227069556823,31.222073665128917,-7.278040035335032,0.10838230395250767,-1.6222931976090378,-1.3326806093089587,0.09906755849777728,0.8014240333651461,16.278697352080297,4.748890356231604,4.369167139996724
Clem Scharein,AAA,DOV,2B,100,29,84,75,52,56,66,54,69,56,65,84,77,55,54,9,$70K  70000,Dover Mental Patients,6875,0.2569100743910495,0.32564898842152074,0.4031662831246024,556.546222474426,1047.132540434599,0.9736599999999995,86.1124717667049,82.66542383259292,-24.00007719837535,-1.4751399011516795,1.5058374025204646,1.1673850288203511,0.0,0.09886386793340098,0.7288152715461231,18.551540749147534,1.7954947538316168,-0.39920762222287615
Cory Glynn,AA,DOV,3B,100,23,68,66,17,26,18,21,27,34,48,62,46,70,54,0,$38K  37500,Dover Mental Patients,6875,0.21355544079672242,0.26163194913922116,0.26935250233445374,351.2443588329479,707.630278381519,0.9215300000000002,32.60748467634452,47.85109237327713,-136.11553372837542,-2.9791075452368756,-1.4748629017180774,-1.103265515899791,0.0,0.0994267834100221,0.5309844514736749,11.708145294431597,1.213357816154868,-12.828154541371573
Cyrus Baker,RL,DOV,2B,100,20,74,65,25,8,27,11,43,43,50,70,49,49,49,9,$8K  7650,Dover Mental Patients,6875,0.21460992755846872,0.2741990347800867,0.22256064319017943,371.65896291844547,759.8465710692108,0.8605549999999996,26.226710676150596,44.72343865401503,-135.17369657960114,-3.6756850416768825,-1.4864498613032795,-0.7512956634661832,0.0,0.0987710189726251,0.49675967797026616,12.388632097281516,1.3028919257016647,-12.690349739058115
Destin Harris,AAA,DOV,3B,100,22,77,53,9,53,43,31,36,77,46,76,63,84,78,3,$55K  54500,Dover Mental Patients,6875,0.22015442098826332,0.26830539857943025,0.33947576109550126,413.83435889706016,815.8324277754873,0.8824500000000002,52.09105613867772,63.247634868196144,-111.10383985049505,-2.900663154508425,0.01568481688404628,-0.14335032129148376,0.0,0.0997109257365857,0.6077811596749315,13.794478629902006,1.3988896223859524,-9.973595972223372
Don Li,LoA,DOV,RF,100,24,80,83,46,12,7,19,19,65,83,70,47,46,47,8,$27K  26250,Dover Mental Patients,6875,0.21590696163453882,0.26081449068878065,0.2459555648798258,421.4105394408107,853.4673135634512,0.7720566666666667,27.857671373982647,35.84439464444366,-194.1545290255011,3.4693915412599683,-2.3011691081516394,-2.1515837447814925,0.0,0.09899711206497631,0.5067700555686064,14.047017981360357,-4.3902639586597285,-18.46265969404637
Don Tuivailala,AAA,DOV,CF,100,25,88,68,46,61,67,53,47,73,76,92,68,61,55,8,$57K  57000,Dover Mental Patients,6875,0.25117790986645655,0.3053403423466515,0.4138672496734628,552.4954881966114,1045.24283326976,0.9341199999999991,82.25686452799032,84.43761288114732,-28.219871120221825,2.856782061103089,3.6826260899055736,3.602025607941535,0.0,0.09923277164460632,0.7192075920201143,18.41651627322038,1.7922545152087794,-0.1564551605449412
Emmett Bernero,ML,DOV,C,100,37,94,92,79,51,64,68,52,65,23,3,33,66,73,50,$4.3M  4300000,Dover Mental Patients,6875,0.27347297694509654,0.332310134373084,0.39712269508486675,561.475311871618,1081.9380386769772,0.8276124999999999,88.34476717572447,75.357607567347,-31.93292202503194,-5.893390480517362,0.6314159465825998,1.80304554113196,-0.490350660979708,0.09971981727693237,0.7294328294579507,18.715843729053933,5.565524890313668,-1.1834627804172784
Esteban Lopez,ML,DOV,2B,100,26,89,89,50,67,59,51,43,67,72,72,68,83,77,1,$343K  343000,Dover Mental Patients,6875,0.2469918618516956,0.29907195291928645,0.41922596368743126,560.4652434550226,1059.9649598170072,0.950742499999999,82.04814884368584,83.72693370322789,-26.956712424439367,0.7430520248168154,0.7210182934580908,0.5800059107460126,0.0,0.09946506740351214,0.7182979166067177,18.682174781834085,1.8174982164214801,-0.5174526154931891
Felipe Santos,HiA,DOV,1B,100,22,71,69,37,19,25,30,44,66,74,63,42,33,41,3,$27K  26250,Dover Mental Patients,6875,0.22956654545325633,0.2886048896858603,0.2829731935740979,415.77081760857254,796.3664147760719,0.8225800000000001,45.089119303208044,58.35924375287568,-74.59434468180574,1.7526002319707974,0.5299314366699887,-0.6873162183439414,0.0,0.098772569595608,0.5715780832599582,13.859027253619086,-6.827558425720781,-6.70227442085885
Fred Stoops,HiA,DOV,2B,100,22,88,57,26,5,9,17,14,57,7,67,56,73,65,16,$27K  26250,Dover Mental Patients,6875,0.20854015769243964,0.24769153880356679,0.18628095986793047,366.61749517638236,824.4230813421309,0.8810333333333337,9.817772244387507,21.838802439814234,-201.438722609085,-2.900701243344461,-2.5550364504210763,0.6829429754684871,0.9675219918187955,0.09960550988733775,0.43397249867149723,12.220583172546078,1.4136198239748472,-19.152294349100636
Gerald Torrez,AAA,DOV,3B,100,25,70,96,46,52,59,68,71,63,45,70,64,79,75,5,$59K  59000,Dover Mental Patients,6875,0.2596636117472315,0.3291521500034008,0.39086211953643335,499.2407238576561,918.8608624115586,0.9576899999999998,85.62750358529642,72.97831209116255,-43.068475518243986,-4.740788520724551,0.25157824546419266,0.6652605478205753,0.0,0.09975244865171153,0.7200142695398342,16.64135746192187,1.5755501756028099,-2.915554221499361
Gregory Russell,LoA,DOV,3B,100,23,80,60,19,29,22,14,26,47,59,66,52,53,54,18,$27K  26250,Dover Mental Patients,6875,0.20987898342775968,0.2565227310038084,0.27131228975651817,391.48154452070594,816.8996192701161,0.8411599999999999,31.36410696181023,50.574730836225,-146.97420669364672,-1.8402743110927713,-1.6823047191551574,-2.398872020298313,0.0,0.09886778388289276,0.5278350207603266,13.049384817356863,1.4007195117800344,-13.784331102541572
Hack Hudson,AA,DOV,LF,100,22,89,95,33,22,30,20,32,48,64,56,42,62,51,0,$38K  37500,Dover Mental Patients,6875,0.22134755480710422,0.27301797864954686,0.27144682536758447,463.3123816912994,925.177156412974,0.9326166666666666,37.22873569797279,52.16681121948351,-144.5821225375229,-1.5462968805800843,-0.8790880788776032,-1.0089023054253232,0.0,0.09945240438508808,0.5444648040171314,15.443746056376646,-4.759141751095545,-13.753032738473083
Hamish Foltynewicz,HiA,DOV,LF,100,22,94,94,0,15,6,9,29,68,74,71,56,43,46,14,$27K  26250,Dover Mental Patients,6875,0.19710183727462918,0.245350696344619,0.21828229489612685,433.49754883535206,934.0835420899093,0.8299500000000002,14.216619714796744,35.529914516632566,-196.3784859435333,2.682928577383045,-20.8529005009053,-14.92547430217662,0.0,0.0994002019503434,0.46363299124074586,14.449918294511734,-4.804956492232043,-20.054744638412828
Hanley Davies,ML,DOV,SS,100,28,74,93,61,62,57,62,49,76,74,78,67,78,80,14,$360K  360000,Dover Mental Patients,6875,0.2548336713561902,0.3106708129701344,0.4186401907732318,521.8459891416132,969.3818417768925,0.9654999999999994,86.78581403783078,87.91556748107595,-26.66817068808428,3.2447901176825327,0.6762397619495143,1.2659082339850212,0.0,0.09944621967559687,0.7293110037433661,17.39486630472044,4.986532107905826,0.02256944907640109
Howard Bale,HiA,DOV,CF,100,24,85,57,41,20,37,22,58,54,85,73,59,48,39,7,$27K  26250,Dover Mental Patients,6875,0.2319333513704289,0.3004357268020488,0.2873166258377759,476.0760776773095,908.5898237396032,0.7858629999999996,49.82788447749821,67.82593177704709,-85.34741469634156,2.204431506895549,-1.3605429491071466,-0.19345166188080892,0.0,0.09873040575592786,0.5877523526398247,15.869202589243649,1.5579386552462333,-6.642979999922282
Isaac Radmanovich,AA,DOV,SS,100,25,69,93,15,29,17,39,24,45,34,68,58,80,68,0,$38K  37500,Dover Mental Patients,6875,0.21795209696113893,0.2604999320358261,0.27368644271137993,374.71557798981667,775.1975296251476,0.8979650000000001,34.17010837455067,52.02174842639788,-112.03622086153544,-3.3279475010916792,-1.2147715165059445,-0.874607916594647,0.0,0.09996630404901698,0.534186374747206,12.490519266327222,3.9876416132980843,-10.054845631219354
Jaret Winston,AA,DOV,3B,100,25,77,95,26,42,40,28,47,43,37,60,51,58,59,18,$38K  37500,Dover Mental Patients,6875,0.2258367376940354,0.2837317013654155,0.3170845995338693,431.93565537501127,875.5059082098305,0.9327399999999999,51.01246224476976,65.60927621795119,-63.289272118295656,-3.829948268171128,-0.2554069456917584,0.1550605251298876,0.0,0.09935552538780502,0.6008163008992848,14.397855179167042,1.501210405023715,-5.146837136516345
Jerry Seager,HiA,DOV,DH,100,24,81,63,17,52,15,13,58,12,22,24,16,30,22,26,$27K  26250,Dover Mental Patients,6875,0.22202418443030425,0.29176328754405406,0.34126321727595516,401.0524550108239,813.5916859079152,0.5801599999999999,55.254237819572644,75.55191862192487,-41.904006254433114,-4.882352771938492,-3.9354226030853985,-5.3058779567076675,-6.145646929778825,0.09907164427539573,0.6330265048200092,13.368415167027463,-9.765332306850834,-4.887208820247132
Jim Nation,RL,DOV,C,100,21,60,63,20,17,9,12,24,37,53,7,28,63,52,71,$8K  7650,Dover Mental Patients,6875,0.20934043955769932,0.2573556579209854,0.23758787166807405,271.3017974793911,583.5347852818668,0.87129,23.069272030312767,37.513971522331374,-161.7920861347619,-2.931004067450643,-4.285456993440588,-3.050110334461234,0.6718865225782238,0.09983413173875778,0.49494352958905946,9.043393249313036,3.0017221465116606,-15.695791874024023
Jody Morrow,RL,DOV,3B,100,23,70,68,27,22,29,26,28,55,90,50,38,62,43,8,$8K  7650,Dover Mental Patients,6875,0.2238425416531456,0.2730273808863748,0.28863076020650447,393.36428887955844,741.4310469906777,0.8985699999999998,41.08374705566579,60.65747472888987,-107.04395114943075,3.049821554011581,-1.8845282374582304,-1.8809795497935238,0.0,0.09960661168559927,0.5616581410928793,13.11214296265195,1.2713152383242075,-9.221418924741558
Joe Bowles,LoA,DOV,1B,100,21,66,96,69,0,18,76,36,76,97,60,37,63,56,4,$27K  26250,Dover Mental Patients,6875,0.25873655258843975,0.3121006147195738,0.2831569969444736,455.49112823046744,822.2707483004779,0.90933,56.83330774708205,82.83635067243765,-108.9205451251989,9.869976535859381,1.3182450837015784,1.729291336083649,0.0,0.09969149386568933,0.5952576116640473,15.183037607682248,-7.0496463331659625,-8.989223072642023
Joe Floyd,RL,DOV,CF,100,23,90,85,48,33,31,38,53,52,57,58,54,49,37,0,$8K  7650,Dover Mental Patients,6875,0.2415484539906888,0.3049524157399632,0.3242843388908258,518.7796931890771,1003.9230862688273,0.8522399999999999,59.27069372584132,68.8235681914433,-52.290932820257765,-3.4831746311082448,0.9092853365803397,0.5099844389439493,0.0,0.09936482689925942,0.629236754630789,17.292656439635902,1.7214044689108836,-3.653634022971904
Jose Altuve,LoA,DOV,SS,100,19,74,88,37,40,45,34,49,46,99,78,57,69,61,4,$27K  26250,Dover Mental Patients,6875,0.23247520662248292,0.2930484510825593,0.34479807469180124,470.3716301750392,878.479244209826,0.8911299999999999,62.134400338975446,87.21174622448704,-45.26909632872564,3.5595802336465105,0.5155333603061386,0.7370398264371595,0.0,0.09902098084392964,0.6378465257743605,15.679054339167973,4.518926153342726,-2.0938558494123254
Josh Vernon,HiA,DOV,1B,100,25,82,93,15,21,28,47,54,55,57,75,53,55,54,0,$27K  26250,Dover Mental Patients,6875,0.2312634790176321,0.2930222079914777,0.27935719261515396,459.4453988187015,911.229500008747,0.8587166666666665,46.16436129813568,67.63148509800568,-63.03429762622683,-2.170659084790028,0.8851672297116959,0.7480583531300692,0.0,0.09943589765287943,0.5723794006066316,15.31484662729005,-7.812324245616829,-5.740416257151239
